Date,SPY,TLT,VXX
1995-09-22,34.528755,,
1995-09-25,34.47324,,
1995-09-26,34.463993,,
1995-09-27,34.436234,,
1995-09-28,34.695282,,
1995-09-29,34.630508,,
1995-10-02,34.454739,,
1995-10-03,34.491753,,
1995-10-04,34.454739,,
1995-10-05,34.556496,,
1995-10-06,34.584267,,
1995-10-09,34.297447,,
1995-10-10,34.278923,,
1995-10-11,34.389984,,
1995-10-12,34.602772,,
1995-10-13,34.713791,,
1995-10-16,34.547253,,
1995-10-17,34.778549,,
1995-10-18,34.880325,,
1995-10-19,35.046852,,
1995-10-20,34.834072,,
1995-10-23,34.760056,,
1995-10-24,34.797058,,
1995-10-25,34.510235,,
1995-10-26,34.195679,,
1995-10-27,34.454739,,
1995-10-30,34.676781,,
1995-10-31,34.528755,,
1995-11-01,34.80632,,
1995-11-02,35.028366,,
1995-11-03,35.074619,,
1995-11-06,34.954338,,
1995-11-07,34.824802,,
1995-11-08,35.139378,,
1995-11-09,35.268913,,
1995-11-10,35.250401,,
1995-11-13,35.213398,,
1995-11-14,34.982094,,
1995-11-15,35.333679,,
1995-11-16,35.527966,,
1995-11-17,35.638996,,
1995-11-20,35.453972,,
1995-11-21,35.740765,,
1995-11-22,35.629742,,
1995-11-24,35.722256,,
1995-11-27,35.731499,,
1995-11-28,36.110847,,
1995-11-29,36.147854,,
1995-11-30,36.06459,,
1995-12-01,36.110847,,
1995-12-04,36.554955,,
1995-12-05,36.795509,,
1995-12-06,36.878788,,
1995-12-07,36.684475,,
1995-12-08,36.80476,,
1995-12-11,36.962032,,
1995-12-12,36.851025,,
1995-12-13,37.082321,,
1995-12-14,36.814003,,
1995-12-15,36.827492,,
1995-12-18,36.119999,,
1995-12-19,36.501663,,
1995-12-20,36.147919,,
1995-12-21,36.334106,,
1995-12-22,36.464436,,
1995-12-26,36.641304,,
1995-12-27,36.622688,,
1995-12-28,36.585449,,
1995-12-29,36.631992,,
1996-01-02,37.023006,,
1996-01-03,37.125389,,
1996-01-04,36.771637,,
1996-01-05,36.697144,,
1996-01-08,36.836792,,
1996-01-09,36.203766,,
1996-01-10,35.729004,,
1996-01-11,35.943115,,
1996-01-12,35.887249,,
1996-01-15,35.812775,,
1996-01-16,36.250324,,
1996-01-17,36.138599,,
1996-01-18,36.259636,,
1996-01-19,36.501663,,
1996-01-22,36.510948,,
1996-01-23,36.594776,,
1996-01-24,36.892635,,
1996-01-25,36.762318,,
1996-01-26,37.078854,,
1996-01-29,37.227791,,
1996-01-30,37.5443,,
1996-01-31,37.935284,,
1996-02-01,38.074932,,
1996-02-02,37.916683,,
1996-02-05,38.223869,,
1996-02-06,38.586937,,
1996-02-07,38.810356,,
1996-02-08,39.229286,,
1996-02-09,39.219986,,
1996-02-12,39.517864,,
1996-02-13,39.434082,,
1996-02-14,39.089645,,
1996-02-15,38.84761,,
1996-02-16,38.689335,,
1996-02-20,38.307686,,
1996-02-21,38.78244,,
1996-02-22,39.396858,,
1996-02-23,39.285126,,
1996-02-26,38.726593,,
1996-02-27,38.605572,,
1996-02-28,38.428677,,
1996-02-29,38.056316,,
1996-03-01,38.661419,,
1996-03-04,38.884857,,
1996-03-05,39.247898,,
1996-03-06,38.903473,,
1996-03-07,39.098949,,
1996-03-08,37.832901,,
1996-03-11,38.270432,,
1996-03-12,37.972527,,
1996-03-13,38.233181,,
1996-03-14,38.400764,,
1996-03-15,38.374947,,
1996-03-18,39.113625,,
1996-03-19,39.02948,,
1996-03-20,38.982735,,
1996-03-21,38.889248,,
1996-03-22,38.992096,,
1996-03-25,38.91729,,
1996-03-26,39.10429,,
1996-03-27,38.748989,,
1996-03-28,38.898586,,
1996-03-29,38.711548,,
1996-04-01,39.160397,,
1996-04-02,39.23521,,
1996-04-03,39.23521,,
1996-04-04,39.207169,,
1996-04-08,38.53392,,
1996-04-09,38.384293,,
1996-04-10,37.70171,,
1996-04-11,37.654934,,
1996-04-12,38.131832,,
1996-04-15,38.44976,,
1996-04-16,38.561966,,
1996-04-17,38.468452,,
1996-04-18,38.524559,,
1996-04-19,38.618057,,
1996-04-22,38.91729,,
1996-04-23,39.038857,,
1996-04-24,38.898586,,
1996-04-25,39.076267,,
1996-04-26,39.160397,,
1996-04-29,39.160397,,
1996-04-30,39.132336,,
1996-05-01,39.216507,,
1996-05-02,38.54327,,
1996-05-03,38.487167,,
1996-05-06,38.44976,,
1996-05-07,38.290779,,
1996-05-08,38.76767,,
1996-05-09,38.73962,,
1996-05-10,39.122986,,
1996-05-13,39.712109,,
1996-05-14,39.955208,,
1996-05-15,39.908455,,
1996-05-16,39.992599,,
1996-05-17,40.207664,,
1996-05-20,40.478848,,
1996-05-21,40.422718,,
1996-05-22,40.806107,,
1996-05-23,40.637794,,
1996-05-24,40.796768,,
1996-05-28,40.385342,,
1996-05-29,40.114178,,
1996-05-30,40.319881,,
1996-05-31,40.02066,,
1996-06-03,40.132851,,
1996-06-04,40.413406,,
1996-06-05,40.768692,,
1996-06-06,40.469486,,
1996-06-07,40.469486,,
1996-06-10,40.33857,,
1996-06-11,40.301174,,
1996-06-12,40.226368,,
1996-06-13,40.226368,,
1996-06-14,40.058083,,
1996-06-17,40.030006,,
1996-06-18,39.702736,,
1996-06-19,39.880386,,
1996-06-20,39.852333,,
1996-06-21,40.195122,,
1996-06-24,40.270321,,
1996-06-25,40.223335,,
1996-06-26,39.950722,,
1996-06-27,40.232731,,
1996-06-28,40.373726,,
1996-07-01,40.721531,,
1996-07-02,40.571125,,
1996-07-03,40.486538,,
1996-07-05,39.452499,,
1996-07-08,39.292709,,
1996-07-09,39.452499,,
1996-07-10,39.612312,,
1996-07-11,38.813297,,
1996-07-12,38.841484,,
1996-07-15,37.694683,,
1996-07-16,37.788685,,
1996-07-17,38.239868,,
1996-07-18,38.766273,,
1996-07-19,38.484291,,
1996-07-22,38.202293,,
1996-07-23,37.71347,,
1996-07-24,37.788685,,
1996-07-25,38.127087,,
1996-07-26,38.333881,,
1996-07-29,37.910873,,
1996-07-30,38.27747,,
1996-07-31,38.55949,,
1996-08-01,39.198711,,
1996-08-02,40.044704,,
1996-08-05,39.809719,,
1996-08-06,39.931915,,
1996-08-07,40.035294,,
1996-08-08,39.969524,,
1996-08-09,39.837917,,
1996-08-12,40.129314,,
1996-08-13,39.809719,,
1996-08-14,39.950722,,
1996-08-15,39.87553,,
1996-08-16,40.213917,,
1996-08-19,40.232731,,
1996-08-20,40.204514,,
1996-08-21,40.063503,,
1996-08-22,40.439514,,
1996-08-23,40.223335,,
1996-08-26,40.025936,,
1996-08-27,40.176315,,
1996-08-28,40.110512,,
1996-08-29,39.715694,,
1996-08-30,39.302109,,
1996-09-03,39.555912,,
1996-09-04,39.59351,,
1996-09-05,39.11412,,
1996-09-06,39.668716,,
1996-09-09,40.138718,,
1996-09-10,40.119919,,
1996-09-11,40.345528,,
1996-09-12,40.627518,,
1996-09-13,41.247948,,
1996-09-16,41.398315,,
1996-09-17,41.304352,,
1996-09-18,41.200932,,
1996-09-19,41.360737,,
1996-09-20,41.507462,,
1996-09-23,41.498005,,
1996-09-24,41.488556,,
1996-09-25,41.516903,,
1996-09-26,41.498005,,
1996-09-27,41.535793,,
1996-09-30,41.498005,,
1996-10-01,41.724766,,
1996-10-02,42.00824,,
1996-10-03,41.970425,,
1996-10-04,42.53735,,
1996-10-07,42.584599,,
1996-10-08,42.414539,,
1996-10-09,42.083813,,
1996-10-10,41.998775,,
1996-10-11,42.51844,,
1996-10-14,42.575123,,
1996-10-15,42.51844,,
